"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_transitions.scss", "SCSS", 0, 0, 0, 0, 17, 0, 1, 5, 23
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_type.scss", "SCSS", 0, 0, 0, 0, 82, 0, 20, 24, 126
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_utilities.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\_variables.scss", "SCSS", 0, 0, 0, 0, 625, 0, 96, 239, 960
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\bootstrap-grid.scss", "SCSS", 0, 0, 0, 0, 20, 0, 6, 7, 33
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\bootstrap-reboot.scss", "SCSS", 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\bootstrap.scss", "SCSS", 0, 0, 0, 0, 35, 0, 6, 2, 43
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_alert.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_background-variant.scss", "SCSS", 0, 0, 0, 0, 16, 0, 2, 4, 22
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_badge.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_border-radius.scss", "SCSS", 0, 0, 0, 0, 29, 0, 1, 6, 36
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_box-shadow.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 69, 0, 44, 11, 124
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_buttons.scss", "SCSS", 0, 0, 0, 0, 86, 0, 10, 14, 110
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_caret.scss", "SCSS", 0, 0, 0, 0, 59, 0, 0, 8, 67
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_clearfix.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_float.scss", "SCSS", 0, 0, 0, 0, 9, 0, 1, 2, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_forms.scss", "SCSS", 0, 0, 0, 0, 115, 0, 14, 19, 148
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_gradients.scss", "SCSS", 0, 0, 0, 0, 34, 0, 7, 5, 46
